,mem_C,max_memAB,min_memAB,avg_memAB,sim_AC,sim_BC,max_simACBC,min_simACBC,mem_max_simACBC,mem_min_simACBC,semantic_similarity,category
grapefruit_10s&&granola_07s,0.8573886156082153,0.9097368717193604,0.8094499111175537,0.859593391418457,0.7291331887245178,0.9448032975196838,0.9448032975196838,0.7291331887245178,0.8094499111175537,0.9097368717193604,0.9748241713933846,HS
grapefruit_18n&&granola_11s,0.8871610164642334,0.9278603196144104,0.8811565041542053,0.9045084118843079,0.7614772319793701,0.7644073963165283,0.7644073963165283,0.7614772319793701,0.8811565041542053,0.9278603196144104,0.9748241713933846,HS
grapefruit_06s&&granola_08s,0.8649562001228333,0.9635476469993591,0.8296481966972351,0.8965979218482971,0.8973932862281799,0.8540207147598267,0.8973932862281799,0.8540207147598267,0.9635476469993591,0.8296481966972351,0.9748241713933846,HS
grapefruit_04s&&granola_17s,0.8777629137039185,0.8916308283805847,0.8873764872550964,0.8895036578178406,0.8668459057807922,0.8366767168045044,0.8668459057807922,0.8366767168045044,0.8916308283805847,0.8873764872550964,0.9748241713933846,HS
grapefruit_11s&&granola_13s,0.8378358483314514,0.9243931174278259,0.8421553373336792,0.8832742273807526,0.9278555512428284,0.7703095078468323,0.9278555512428284,0.7703095078468323,0.9243931174278259,0.8421553373336792,0.9748241713933846,HS
grapefruit_13s&&granola_01b,0.880346953868866,0.8947128057479858,0.8221175670623779,0.8584151864051819,0.9493403434753418,0.6755268573760986,0.9493403434753418,0.6755268573760986,0.8947128057479858,0.8221175670623779,0.9748241713933846,HS
coffee_bean_09s&&coffee_05s,0.885349452495575,0.9302171468734741,0.8698751330375671,0.9000461399555206,0.8236227035522461,0.8675746917724609,0.8675746917724609,0.8236227035522461,0.8698751330375671,0.9302171468734741,0.9393628685422709,HS
coffee_bean_05s&&coffee_02s,0.8353108763694763,0.8586968779563904,0.8549860119819641,0.8568414449691772,0.8331565856933594,0.9423133134841919,0.9423133134841919,0.8331565856933594,0.8586968779563904,0.8549860119819641,0.9393628685422709,HS
coffee_bean_04s&&coffee_04s,0.8213675618171692,0.9305559396743774,0.8910357356071472,0.9107958376407623,0.8176924586296082,0.9185972809791565,0.9185972809791565,0.8176924586296082,0.8910357356071472,0.9305559396743774,0.9393628685422709,HS
coffee_bean_01b&&coffee_12s,0.7531394362449646,0.9349836707115173,0.8309551477432251,0.8829694092273712,0.8433122038841248,0.945000410079956,0.945000410079956,0.8433122038841248,0.8309551477432251,0.9349836707115173,0.9393628685422709,HS
roll_08s&&airbag_08s,0.870468258857727,0.9446851015090942,0.7506252527236938,0.847655177116394,0.756157636642456,0.7415828108787537,0.756157636642456,0.7415828108787537,0.9446851015090942,0.7506252527236938,0.9308706440558693,HS
roll_02s&&airbag_05s,0.8997592926025391,0.9082697033882141,0.8137074708938599,0.860988587141037,0.8778982162475586,0.6562134027481079,0.8778982162475586,0.6562134027481079,0.9082697033882141,0.8137074708938599,0.9308706440558693,HS
roll_12s&&airbag_14s,0.8004937767982483,0.921066164970398,0.8449034690856934,0.8829848170280457,0.603257417678833,0.8293071985244751,0.8293071985244751,0.603257417678833,0.8449034690856934,0.921066164970398,0.9308706440558693,HS
roll_10s&&airbag_01b,0.7266045808792114,0.9456814527511597,0.7639732956886292,0.8548273742198944,0.49286550283432007,0.9253296852111816,0.9253296852111816,0.49286550283432007,0.7639732956886292,0.9456814527511597,0.9308706440558693,HS
poinsettia_14s&&airbag_06s,0.7501271367073059,0.7902684807777405,0.7382027506828308,0.7642356157302856,0.6824976801872253,0.7247970700263977,0.7247970700263977,0.6824976801872253,0.7382027506828308,0.7902684807777405,0.9305323018157886,HS
poinsettia_12s&&airbag_08s,0.9252075552940369,0.8603134751319885,0.7506252527236938,0.8054693639278412,0.8617731332778931,0.656792402267456,0.8617731332778931,0.656792402267456,0.8603134751319885,0.7506252527236938,0.9305323018157886,HS
poinsettia_13s&&airbag_09s,0.8188900351524353,0.7997689247131348,0.7742533087730408,0.7870111167430878,0.5395927429199219,0.8755805492401123,0.8755805492401123,0.5395927429199219,0.7997689247131348,0.7742533087730408,0.9305323018157886,HS
poinsettia_10s&&airbag_03s,0.7579104900360107,0.8213075399398804,0.7789140939712524,0.8001108169555664,0.9564797878265381,0.5813256502151489,0.9564797878265381,0.5813256502151489,0.7789140939712524,0.8213075399398804,0.9305323018157886,HS
penlight_10s&&penholder_10s,0.8114116191864014,0.8359282612800598,0.7376772165298462,0.786802738904953,0.7877918481826782,0.9501595497131348,0.9501595497131348,0.7877918481826782,0.8359282612800598,0.7376772165298462,0.9267487898571626,HS
penlight_01b&&penholder_09s,0.7551158666610718,0.8763406872749329,0.8513975143432617,0.8638691008090973,0.763310432434082,0.7206346988677979,0.763310432434082,0.7206346988677979,0.8763406872749329,0.8513975143432617,0.9267487898571626,HS
